ID,Species,Organization,Type,Source,No_Media
mvz:amphibian and reptile specimens:25545,Notophthalmus viridescens,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
uf:herp:136100,Desmognathus brimleyorum,FLMNH Division of Herpetology,Biological Specimen,iDigBio,0
usnm:amphibians & reptiles:252606,Haideotriton wallacei,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
fmnh:amphibians and reptiles:70205,Pseudoeurycea cephalica,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:124236,Aneides flavipunctatus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:481114,Eurycea multiplicata,NMNH Extant Specimen Records,Biological Specimen,iDigBio,2
UCM:Amphibian and reptile specimens:UCM:Herp:38219,Pseudoeurycea smithi,UCM Herpetology Collection,Biological Specimen,iDigBio,1
umzc:vertebrates:r.325,Andrias japonicus,UMZC Zoological Specimens,Biological Specimen,iDigBio,0
usnm:amphibians & reptiles:572796,Oedipina collaris,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
mvz:amphibian and reptile specimens:mvz:herp:263972,Nyctanolis pernix,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,2
mvz:amphibian and reptile specimens:205732,Cryptobranchus alleganiensis,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
umzc:vertebrates:r.16090,Notophthalmus viridescens,UMZC Zoological Specimens,Biological Specimen,iDigBio,0
